nome_normalizado;nome_exemplo;quantidade_cadastros;quantidade_contextos;quantidade_geometrias_validas;quantidade_geometrias_unicas;quantidade_geometrias_compartilhadas;distancia_maxima_entre_centros_m;extensao_maxima_da_geometria_m;status;ids;bairros;ceps;distritos
I;RUA I;4;4;4;1;4;0.0;54882.0;geometria_compartilhada_contextos_distintos;823,1649,1758,2017;Codim,Parque Prazeres,Parque Presidente Vargas,Vivendas do Coqueiro II;28021371,28080100,28083780,28090600;611,619,620,622
G;RUA G;2;2;2;1;2;0.0;29682.7;geometria_compartilhada_contextos_distintos;827,1754;Codim,Vivendas do Coqueiro II;28021375,28090580;611,620
CINCO;RUA CINCO;4;4;4;1;4;0.0;16850.1;geometria_compartilhada_contextos_distintos;876,1730,1889,1990;Alphaville,Parque Bandeirantes,Parque Boa Vista,Vila Industrial;28024706,28073720,28085165,28090030;611,620,621,622
MARCILIO MARTINS;RUA MARCÍLIO MARTINS;3;3;3;1;3;0.0;1087.1;geometria_compartilhada_contextos_distintos;968,970,975;Centro,Parque João Maria;28026855,28027400,28027800;612
H;RUA H;3;3;3;1;3;0.0;59073.3;geometria_compartilhada_contextos_distintos;1001,1756,2013;Codim,Parque Céu Azul,Vivendas do Coqueiro I;28021308,28083830,28090590;613,620,622
NOSSA SENHORA DA CONCEICAO;RUA NOSSA SENHORA DA CONCEIÇÃO;2;2;2;1;2;0.0;38302.2;geometria_compartilhada_contextos_distintos;1047,1835;Parque Santa Rosa,Parque Turf Club;28027260,28085490;613,621
BELA VISTA RUA;BELA VISTA, RUA;2;2;2;1;2;0.0;68996.7;geometria_compartilhada_contextos_distintos;1084,1389;FAROL DE SÃO TOMÉ,Tócos;28140002,28148000;614,616
PINHEIRO MACHADO AV;PINHEIRO MACHADO, AV.;2;2;2;1;2;0.0;6756.8;geometria_compartilhada_contextos_distintos;1144,1366;FAROL DE SÃO TOMÉ;28142002,28142143;615,616
DEPUTADO BARTOLOMEU LIZANDRO LADO PAR;AVENIDA DEPUTADO BARTOLOMEU LIZANDRO - LADO PAR;5;5;5;1;5;0.0;2151.3;geometria_compartilhada_contextos_distintos;1453,1455,1457,1520,1522;Parque Fundão,Parque Jardim Carioca,Parque Santo Antônio,Parque Vera Cruz,Parque Vicente Gonçalves Dias;28060210,28060223,28080267,28080390,28080547;617,618
DOUTOR PEDRO BARROSO;AVENIDA DOUTOR PEDRO BARROSO;2;2;2;1;2;0.0;736.0;geometria_compartilhada_contextos_distintos;1454,1480;Parque Jardim Carioca,Parque Vicente Gonçalves Dias;28080600,28083300;617
FRANCISCO LAMEGO;AVENIDA FRANCISCO LAMEGO;2;2;2;1;2;0.0;2584.9;geometria_compartilhada_contextos_distintos;1456,1510;Parque Jardim Carioca,Parque Vicente Gonçalves Dias;28080000,28080810;617
