rua_id;nome;bairro;cep;distrito;hash_local;hash_producao;pontos_local;pontos_producao;linhas_local;linhas_producao;centro_local_lon;centro_local_lat;centro_producao_lon;centro_producao_lat;distancia_centroides_m;extensao_local_m;extensao_producao_m;bbox_local;bbox_producao;lote_osm_antigo;revisao_manual_95;indicacao
1831;ESTRADA SANTA ROSA;Parque Santa Clara;28085500;621;b8ebae594ba0d32f;432e6ab36a09a5c2;91;151;13;17;-41.30980554;-21.73498201;-41.30183879;-21.73645449;839.0;1936.7;4854.6;-41.313602,-21.740315,-41.305065,-21.728425;-41.313602,-21.905588,-41.273578,-21.711700;sim;não;revisar visualmente antes de escolher uma base
2065;RUA DOIS;Parque Aeroporto;28093130;623;9e8cbc1a8f371f45;502c4fe7303ff5d1;4;86;1;17;-41.30922642;-21.73226205;-41.30893896;-21.72954181;303.9;310.3;5761.1;-41.310753,-21.732392,-41.307762,-21.732136;-41.415250,-21.835103,-41.183764,-21.612317;sim;não;revisar visualmente antes de escolher uma base
1953;AVENIDA ZUZA MOTA;Parque Calabouço;28083000;622;d060039e0de450b6;47b4c237f6574bf4;117;139;9;10;-41.31803749;-21.73520244;-41.31802463;-21.73352333;186.7;3763.2;4144.1;-41.319119,-21.741656,-41.313547,-21.725447;-41.319119,-21.741656,-41.313547,-21.723189;sim;não;revisar visualmente antes de escolher uma base
1955;AVENIDA ZUZA MOTA;Parque Presidente Vargas;28083461;622;d060039e0de450b6;47b4c237f6574bf4;117;139;9;10;-41.31803749;-21.73520244;-41.31802463;-21.73352333;186.7;3763.2;4144.1;-41.319119,-21.741656,-41.313547,-21.725447;-41.319119,-21.741656,-41.313547,-21.723189;sim;não;revisar visualmente antes de escolher uma base
1957;AVENIDA ZUZA MOTA;Parque Alvorada;28083735;622;d060039e0de450b6;47b4c237f6574bf4;117;139;9;10;-41.31803749;-21.73520244;-41.31802463;-21.73352333;186.7;3763.2;4144.1;-41.319119,-21.741656,-41.313547,-21.725447;-41.319119,-21.741656,-41.313547,-21.723189;sim;não;revisar visualmente antes de escolher uma base
326;RUA IDOLINO NUNES BRASILEIRO;Parque Califórnia;28015130;606;4b03d127652dab62;4d807c77c72c1683;9;13;2;4;-41.30315249;-21.76276506;-41.30225848;-21.7615763;161.2;448.5;532.1;-41.304466,-21.764994,-41.302458,-21.761532;-41.304466,-21.764994,-41.300149,-21.758506;sim;não;revisar visualmente antes de escolher uma base
332;TRAVESSA IDOLINO NUNES BRASILEIRO;Parque Salo Brand;28015380;606;4b03d127652dab62;4d807c77c72c1683;9;13;2;4;-41.30315249;-21.76276506;-41.30225848;-21.7615763;161.2;448.5;532.1;-41.304466,-21.764994,-41.302458,-21.761532;-41.304466,-21.764994,-41.300149,-21.758506;sim;não;revisar visualmente antes de escolher uma base
1459;PRAÇA SANTO ANTÔNIO;Parque Santo Antônio;28080515;617;4cba9658c5c3fa82;0539df1c55bb275a;15;1;4;2;-41.32670083;-21.74346129;-41.3276289;-21.744473;147.8;1053.6;0;-41.328289,-21.745076,-41.322640,-21.739398;-41.327629,-21.744473,-41.327629,-21.744473;sim;não;revisar visualmente antes de escolher uma base
2080;TRAVESSA MURILO PEIXOTO;Parque Eldorado;28090510;623;da27d85b92183908;700d958c387df93d;2;41;1;7;-41.29917115;-21.71277465;-41.29957363;-21.7136004;100.8;205.2;2111.0;-41.299187,-21.713697,-41.299155,-21.711852;-41.308575,-21.714296,-41.292252,-21.711852;sim;não;revisar visualmente antes de escolher uma base
292;TRAVESSA VEREADOR AMARO SOARES;Goytacazes;28023569;605;17c07e842d18a512;5b3af65ac77c059b;2;15;1;3;-41.28258975;-21.82897765;-41.28317152;-21.82909367;61.4;108.7;445.8;-41.283106,-21.829073,-41.282073,-21.828882;-41.284163,-21.830582,-41.282073,-21.827910;sim;não;revisar visualmente antes de escolher uma base
554;AVENIDA DAS ACÁCIAS;Parque Tarcisio Miranda;28020197;608;7f1a86034cef088a;2923978d820fd018;70;72;8;9;-41.31129085;-21.79640535;-41.31088408;-21.79651337;43.7;4738.0;4866.0;-41.318213,-21.803482,-41.302732,-21.787210;-41.318213,-21.803482,-41.296250,-21.787210;sim;não;revisar visualmente antes de escolher uma base
568;AVENIDA DAS ACÁCIAS;Fazenda Santo Antônio;28023009;608;7f1a86034cef088a;2923978d820fd018;70;72;8;9;-41.31129085;-21.79640535;-41.31088408;-21.79651337;43.7;4738.0;4866.0;-41.318213,-21.803482,-41.302732,-21.787210;-41.318213,-21.803482,-41.296250,-21.787210;sim;não;revisar visualmente antes de escolher uma base
2068;RUA MURILO PEIXOTO;Parque São Silvestre;28090200;623;ead85e1bb34a9b84;700d958c387df93d;37;41;5;7;-41.29990072;-21.71365614;-41.29957363;-21.7136004;34.4;1734.5;2111.0;-41.308575,-21.714296,-41.292252,-21.712818;-41.308575,-21.714296,-41.292252,-21.711852;sim;não;revisar visualmente antes de escolher uma base
809;RUA MANOEL VIRGÍLIO;Parque Penha;28021250;611;96c27e627fb07897;61d974c23616262b;14;19;3;4;-41.28718831;-21.79996296;-41.28725749;-21.80015927;23.0;372.7;463.3;-41.288379,-21.800265,-41.285595,-21.799288;-41.288379,-21.800998,-41.285595,-21.799288;sim;não;revisar visualmente antes de escolher uma base
1714;TRAVESSA WILSON BATISTA;Parque Aldeia;28060555;619;20422ec5a3cf53f5;b33dea17badee99c;43;45;1;2;-41.33837625;-21.72402263;-41.33823702;-21.72413084;18.8;2047.4;2115.7;-41.348847,-21.726296,-41.332329,-21.721522;-41.348847,-21.726711,-41.332329,-21.721522;sim;não;revisar visualmente antes de escolher uma base
291;RUA VEREADOR AMARO SOARES;Goytacazes;28023568;605;9b667138dd68e8da;5b3af65ac77c059b;13;15;2;3;-41.28326102;-21.82911152;-41.28317152;-21.82909367;9.4;337.1;445.8;-41.284163,-21.830582,-41.282669,-21.827910;-41.284163,-21.830582,-41.282073,-21.827910;sim;não;revisar visualmente antes de escolher uma base
