nome_base_normalizado;nomes_cadastrados;quantidade_cadastros;quantidade_contextos;status;ids;bairros;ceps;distritos
HIPOLITO SARDINHA;RUA HIPÓLITO SARDINHA - ATÉ 152 - LADO PAR | RUA HIPÓLITO SARDINHA - ATÉ 215 - LADO ÍMPAR | RUA HIPÓLITO SARDINHA - DE 154 AO FIM - LADO PAR | RUA HIPÓLITO SARDINHA - DE 217 AO FIM - LADO ÍMPAR;4;4;ambiguidade_por_contexto;2183,2184,2185,2186;Custodópolis,Parque Presidente Vargas;28083371,28083372,28085006,28085007;624
HUMBERTO ALVARO DE GUSMAO TRAVESSAO;RUA HUMBERTO ÁLVARO DE GUSMÃO - TRAVESSÃO | TRAVESSA HUMBERTO ÁLVARO DE GUSMÃO -  TRAVESSÃO;2;2;ambiguidade_por_contexto;2113,2138;TRAVESSÃO;28145240,28145565;623
I;RUA I;4;4;ambiguidade_por_contexto;823,1649,1758,2017;Codim,Parque Prazeres,Parque Presidente Vargas,Vivendas do Coqueiro II;28021371,28080100,28083780,28090600;611,619,620,622
IDOLINO NUNES BRASILEIRO;RUA IDOLINO NUNES BRASILEIRO | TRAVESSA IDOLINO NUNES BRASILEIRO;2;2;ambiguidade_por_contexto;326,332;Parque Califórnia,Parque Salo Brand;28015130,28015380;606
ITABORAI;RUA ITABORAÍ | TRAVESSA ITABORAÍ;2;2;ambiguidade_por_contexto;1747,1819;Parque Guarus;28070496,28070497;620
ITAPERUNA;RUA ITAPERUNA - ATÉ 169 - LADO ÍMPAR | RUA ITAPERUNA - ATÉ 184 - LADO PAR | RUA ITAPERUNA - DE 171 AO FIM - LADO ÍMPAR | RUA ITAPERUNA - DE 186 AO FIM - LADO PAR;4;4;ambiguidade_por_contexto;1751,1753,1755,1757;Parque Guarus;28070085,28070086,28070596,28070597;620
J;RUA J;3;3;ambiguidade_por_contexto;1759,1760,2019;Codim,Parque Aldeia,Parque Presidente Vargas;28060515,28083462,28090610;620,622
JOCA CASTRO;RUA JOCA CASTRO;2;2;ambiguidade_por_contexto;429,796;Goytacazes,Parque Penha;28021070,28023713;607,611
JOSE ALVES DE AZEVEDO;AVENIDA JOSÉ ALVES DE AZEVEDO | AVENIDA JOSÉ ALVES DE AZEVEDO - ATÉ 383 - LADO ÍMPAR | AVENIDA JOSÉ ALVES DE AZEVEDO - ATÉ 476 - LADO PAR | AVENIDA JOSÉ ALVES DE AZEVEDO - DE 795 A 1427 - LADO ÍMPAR | AVENIDA JOSÉ ALVES DE AZEVEDO - DE 797 A 407 - LADO ÍMPAR | AVENIDA JOSÉ ALVES DE AZEVEDO - DE 940 A 1100 - LADO PAR;6;6;ambiguidade_por_contexto;3,33,34,101,102,460;Centro,Parque Rosário;28010021,28025496,28025497,28026620,28026621,28026622;601,602,607
JOSE DE SOUZA NETO;RUA JOSÉ DE SOUZA NETO;2;2;ambiguidade_por_contexto;811,997;Parque Penha,Vivendas do Coqueiro I;28021260,28021303;611,613
JOSE FERNANDES REIS;RUA JOSÉ FERNANDES REIS;2;2;ambiguidade_por_contexto;1651,1653;Parque Prazeres,São Jorge;28080145,28080169;619
K;RUA K;2;2;ambiguidade_por_contexto;1657,1659;Parque Prazeres,São Jorge;28080168,28080745;619
L;RUA L;3;3;ambiguidade_por_contexto;1661,1776,2031;Codim,Parque Céu Azul,Parque Prazeres;28080750,28083800,28090490;619,620,622
LOUVIVAL MARTINS BEDA;AVENIDA LOUVIVAL MARTINS BEDA | RUA LOUVIVAL MARTINS BEDA;2;2;ambiguidade_por_contexto;655,656;Donana,Fazenda Santo Antônio;28023135,28023235;609
M;RUA M;2;2;ambiguidade_por_contexto;1780,2033;Codim,Parque Céu Azul;28083810,28090500;620,622
MAESTRO LOURENCO SOARES;RUA MAESTRO LOURENÇO SOARES - ATÉ 76 - LADO PAR | RUA MAESTRO LOURENÇO SOARES - ATÉ 79 - LADO ÍMPAR | RUA MAESTRO LOURENÇO SOARES - DE 310/311 AO FIM | RUA MAESTRO LOURENÇO SOARES - DE 78 A 308 - LADO PAR | RUA MAESTRO LOURENÇO SOARES - DE 81 A 309 - LADO ÍMPAR;5;5;ambiguidade_por_contexto;943,961,962,971,972;Parque Aurora;28025445,28026611,28026612,28027431,28027432;612
MANOEL DE SOUZA;RUA MANOEL DE SOUZA | TRAVESSA MANOEL DE SOUZA;2;2;ambiguidade_por_contexto;1489,1511;Jardim Carioca,Parque Jardim Carioca;28080320,28080800;617
MANOEL VIRGILIO;RUA MANOEL VIRGÍLIO | TRAVESSA MANOEL VIRGÍLIO;2;2;ambiguidade_por_contexto;809,810;Parque Penha;28021250,28021255;611
MARANHAO;RUA MARANHÃO | TRAVESSA MARANHÃO;2;2;ambiguidade_por_contexto;532,533;Parque Novo Jockey;28020837,28020838;608
MARCILIO MARTINS;RUA MARCÍLIO MARTINS;3;3;ambiguidade_por_contexto;968,970,975;Centro,Parque João Maria;28026855,28027400,28027800;612
