rua_id;nome_rua;nome_normalizado;nome_base_normalizado;bairro;cep;distrito;estado_geometria;hash_geometria;extensao_geometria_m;distancia_minima_outra_geometria_m;status_grupo;ids_do_grupo;quantidade_cadastros_base;quantidade_contextos_base;risco_casamento_osm;ids_chave_base
123;RUA DOS GOYTACAZES - DE 564 A 976 - LADO PAR;DOS GOYTACAZES DE 564 A 976 LADO PAR;DOS GOYTACAZES;Parque Turf Club;28027231;603;valida;7ab9a6e40e3336f1;1662.2;0.0;geometria_compartilhada_contextos_distintos;123,1044;8;8;ambiguidade_por_contexto;122,123,124,132,959,960,1044,1045
1044;RUA DOS GOYTACAZES - DE 564 A 976 - LADO PAR;DOS GOYTACAZES DE 564 A 976 LADO PAR;DOS GOYTACAZES;Parque Turf Club;28027231;613;valida;7ab9a6e40e3336f1;1662.2;0.0;geometria_compartilhada_contextos_distintos;123,1044;8;8;ambiguidade_por_contexto;122,123,124,132,959,960,1044,1045
124;RUA DOS GOYTACAZES - DE 609 A 1041 - LADO ÍMPAR;DOS GOYTACAZES DE 609 A 1041 LADO IMPAR;DOS GOYTACAZES;Parque Turf Club;28027232;603;valida;7ab9a6e40e3336f1;1662.2;0.0;geometria_compartilhada_contextos_distintos;124,1045;8;8;ambiguidade_por_contexto;122,123,124,132,959,960,1044,1045
1045;RUA DOS GOYTACAZES - DE 609 A 1041 - LADO ÍMPAR;DOS GOYTACAZES DE 609 A 1041 LADO IMPAR;DOS GOYTACAZES;Parque Turf Club;28027232;613;valida;7ab9a6e40e3336f1;1662.2;0.0;geometria_compartilhada_contextos_distintos;124,1045;8;8;ambiguidade_por_contexto;122,123,124,132,959,960,1044,1045
624;AVENIDA DOUTOR ARTHUR BERNARDES (LOT JD FLAMBOYANT);DOUTOR ARTHUR BERNARDES LOT JD FLAMBOYANT;DOUTOR ARTHUR BERNARDES LOT JD FLAMBOYANT;Flamboyant;28020111;609;valida;cac341ba2860a020;723.9;0.0;geometria_compartilhada_contextos_distintos;624,1202;2;2;ambiguidade_por_contexto;624,1202
1202;AVENIDA DOUTOR ARTHUR BERNARDES (LOT JD FLAMBOYANT);DOUTOR ARTHUR BERNARDES LOT JD FLAMBOYANT;DOUTOR ARTHUR BERNARDES LOT JD FLAMBOYANT;Flamboyant;28020111;615;valida;cac341ba2860a020;723.9;0.0;geometria_compartilhada_contextos_distintos;624,1202;2;2;ambiguidade_por_contexto;624,1202
787;AVENIDA DOUTOR NEWTON GUARANÁ;DOUTOR NEWTON GUARANA;DOUTOR NEWTON GUARANA;Parque Novo Jockey;28020803;611;valida;d0916b44b983fa4a;6258.8;0.0;geometria_compartilhada_contextos_distintos;787,808;2;2;ambiguidade_por_contexto;787,808
808;AVENIDA DOUTOR NEWTON GUARANÁ;DOUTOR NEWTON GUARANA;DOUTOR NEWTON GUARANA;Parque Penha;28021245;611;valida;d0916b44b983fa4a;6258.8;0.0;geometria_compartilhada_contextos_distintos;787,808;2;2;ambiguidade_por_contexto;787,808
1454;AVENIDA DOUTOR PEDRO BARROSO;DOUTOR PEDRO BARROSO;DOUTOR PEDRO BARROSO;Parque Vicente Gonçalves Dias;28083300;617;valida;68738e5b83945158;736.0;0.0;geometria_compartilhada_contextos_distintos;1454,1480;2;2;ambiguidade_por_contexto;1454,1480
1480;RUA DOUTOR PEDRO BARROSO;DOUTOR PEDRO BARROSO;DOUTOR PEDRO BARROSO;Parque Jardim Carioca;28080600;617;valida;68738e5b83945158;736.0;0.0;geometria_compartilhada_contextos_distintos;1454,1480;2;2;ambiguidade_por_contexto;1454,1480
1750;RUA F;F;F;Codim;28090570;620;valida;7c67ac3ab3134552;57135.9;0.0;geometria_compartilhada_contextos_distintos;1750,1752;2;2;ambiguidade_por_contexto;1750,1752
1752;RUA F;F;F;Parque Eldorado;28090740;620;valida;7c67ac3ab3134552;57135.9;0.0;geometria_compartilhada_contextos_distintos;1750,1752;2;2;ambiguidade_por_contexto;1750,1752
1644;RUA FORTALEZA;FORTALEZA;FORTALEZA;Parque Cidade Luz;28060810;619;valida;517f005e77e427c2;152.2;0.0;geometria_compartilhada_contextos_distintos;1644,2006;2;2;ambiguidade_por_contexto;1644,2006
2006;RUA FORTALEZA;FORTALEZA;FORTALEZA;Parque Boa Vista;28073565;622;valida;517f005e77e427c2;152.2;0.0;geometria_compartilhada_contextos_distintos;1644,2006;2;2;ambiguidade_por_contexto;1644,2006
1456;AVENIDA FRANCISCO LAMEGO;FRANCISCO LAMEGO;FRANCISCO LAMEGO;Parque Jardim Carioca;28080000;617;valida;544cfaac95575e57;2584.9;0.0;geometria_compartilhada_contextos_distintos;1456,1510;2;2;ambiguidade_por_contexto;1456,1510
1510;TRAVESSA FRANCISCO LAMEGO;FRANCISCO LAMEGO;FRANCISCO LAMEGO;Parque Vicente Gonçalves Dias;28080810;617;valida;544cfaac95575e57;2584.9;0.0;geometria_compartilhada_contextos_distintos;1456,1510;2;2;ambiguidade_por_contexto;1456,1510
827;RUA G;G;G;Vivendas do Coqueiro II;28021375;611;valida;5bfc92cde7ff79b3;29682.7;0.0;geometria_compartilhada_contextos_distintos;827,1754;2;2;ambiguidade_por_contexto;827,1754
1754;RUA G;G;G;Codim;28090580;620;valida;5bfc92cde7ff79b3;29682.7;0.0;geometria_compartilhada_contextos_distintos;827,1754;2;2;ambiguidade_por_contexto;827,1754
116;RUA GILBERTO SIQUEIRA;GILBERTO SIQUEIRA;GILBERTO SIQUEIRA;Centro;28010400;603;valida;f93db9d2b07faccc;4569.9;0.0;geometria_compartilhada_contextos_distintos;116,1707;2;2;ambiguidade_por_contexto;116,1707
1707;TRAVESSA GILBERTO SIQUEIRA;GILBERTO SIQUEIRA;GILBERTO SIQUEIRA;Parque Fundão;28060377;619;valida;f93db9d2b07faccc;4569.9;0.0;geometria_compartilhada_contextos_distintos;116,1707;2;2;ambiguidade_por_contexto;116,1707
1001;RUA H;H;H;Vivendas do Coqueiro I;28021308;613;valida;08778249b4919c1f;59073.3;0.0;geometria_compartilhada_contextos_distintos;1001,1756,2013;3;3;ambiguidade_por_contexto;1001,1756,2013
1756;RUA H;H;H;Codim;28090590;620;valida;08778249b4919c1f;59073.3;0.0;geometria_compartilhada_contextos_distintos;1001,1756,2013;3;3;ambiguidade_por_contexto;1001,1756,2013
2013;RUA H;H;H;Parque Céu Azul;28083830;622;valida;08778249b4919c1f;59073.3;0.0;geometria_compartilhada_contextos_distintos;1001,1756,2013;3;3;ambiguidade_por_contexto;1001,1756,2013
2113;RUA HUMBERTO ÁLVARO DE GUSMÃO - TRAVESSÃO;HUMBERTO ALVARO DE GUSMAO TRAVESSAO;HUMBERTO ALVARO DE GUSMAO TRAVESSAO;TRAVESSÃO;28145240;623;valida;e14fbfea3fe2a29d;415.9;0.0;geometria_compartilhada_contextos_distintos;2113,2138;2;2;ambiguidade_por_contexto;2113,2138
2138;TRAVESSA HUMBERTO ÁLVARO DE GUSMÃO -  TRAVESSÃO;HUMBERTO ALVARO DE GUSMAO TRAVESSAO;HUMBERTO ALVARO DE GUSMAO TRAVESSAO;TRAVESSÃO;28145565;623;valida;e14fbfea3fe2a29d;415.9;0.0;geometria_compartilhada_contextos_distintos;2113,2138;2;2;ambiguidade_por_contexto;2113,2138
823;RUA I;I;I;Vivendas do Coqueiro II;28021371;611;valida;ebba2ddc4a358ad1;54882.0;0.0;geometria_compartilhada_contextos_distintos;823,1649,1758,2017;4;4;ambiguidade_por_contexto;823,1649,1758,2017
1649;RUA I;I;I;Parque Prazeres;28080100;619;valida;ebba2ddc4a358ad1;54882.0;0.0;geometria_compartilhada_contextos_distintos;823,1649,1758,2017;4;4;ambiguidade_por_contexto;823,1649,1758,2017
1758;RUA I;I;I;Codim;28090600;620;valida;ebba2ddc4a358ad1;54882.0;0.0;geometria_compartilhada_contextos_distintos;823,1649,1758,2017;4;4;ambiguidade_por_contexto;823,1649,1758,2017
2017;RUA I;I;I;Parque Presidente Vargas;28083780;622;valida;ebba2ddc4a358ad1;54882.0;0.0;geometria_compartilhada_contextos_distintos;823,1649,1758,2017;4;4;ambiguidade_por_contexto;823,1649,1758,2017
326;RUA IDOLINO NUNES BRASILEIRO;IDOLINO NUNES BRASILEIRO;IDOLINO NUNES BRASILEIRO;Parque Califórnia;28015130;606;valida;4b03d127652dab62;437.2;0.0;geometria_compartilhada_contextos_distintos;326,332;2;2;ambiguidade_por_contexto;326,332
332;TRAVESSA IDOLINO NUNES BRASILEIRO;IDOLINO NUNES BRASILEIRO;IDOLINO NUNES BRASILEIRO;Parque Salo Brand;28015380;606;valida;4b03d127652dab62;437.2;0.0;geometria_compartilhada_contextos_distintos;326,332;2;2;ambiguidade_por_contexto;326,332
1747;RUA ITABORAÍ;ITABORAI;ITABORAI;Parque Guarus;28070496;620;valida;58e164105f88c7e8;394.9;0.0;geometria_compartilhada_contextos_distintos;1747,1819;2;2;ambiguidade_por_contexto;1747,1819
1819;TRAVESSA ITABORAÍ;ITABORAI;ITABORAI;Parque Guarus;28070497;620;valida;58e164105f88c7e8;394.9;0.0;geometria_compartilhada_contextos_distintos;1747,1819;2;2;ambiguidade_por_contexto;1747,1819
1759;RUA J;J;J;Parque Aldeia;28060515;620;valida;d44cec38f572a2eb;14196.8;0.0;geometria_compartilhada_contextos_distintos;1759,1760,2019;3;3;ambiguidade_por_contexto;1759,1760,2019
1760;RUA J;J;J;Codim;28090610;620;valida;d44cec38f572a2eb;14196.8;0.0;geometria_compartilhada_contextos_distintos;1759,1760,2019;3;3;ambiguidade_por_contexto;1759,1760,2019
2019;RUA J;J;J;Parque Presidente Vargas;28083462;622;valida;d44cec38f572a2eb;14196.8;0.0;geometria_compartilhada_contextos_distintos;1759,1760,2019;3;3;ambiguidade_por_contexto;1759,1760,2019
811;RUA JOSÉ DE SOUZA NETO;JOSE DE SOUZA NETO;JOSE DE SOUZA NETO;Parque Penha;28021260;611;valida;d3cab352d1b23780;284.5;0.0;geometria_compartilhada_contextos_distintos;811,997;2;2;ambiguidade_por_contexto;811,997
